folder,file,ext,date
03_EVIDENCE/images-screenshots,Screenshot 2026-03-08 at 12.43.34 PM.png,png,2034-12-43
03_EVIDENCE/images-screenshots,Screenshot 2026-03-08 at 4.22.20 PM.png,png,2020-04-22
03_EVIDENCE/images-screenshots,Screenshot 2026-03-09 at 6.26.24 PM.png,png,2024-06-26
03_EVIDENCE/images-screenshots,Screenshot 2026-03-09 at 6.26.39 PM.png,png,2039-06-26
03_EVIDENCE/images-screenshots,Screenshot 2026-03-16 at 6.22.46 PM.png,png,2046-06-22
03_EVIDENCE/images-screenshots,Screenshot 2026-03-16 at 6.24.02 PM.png,png,2002-06-24
03_EVIDENCE/images-screenshots,Screenshot 2026-03-17 at 11.08.34 AM.png,png,2034-11-08
03_EVIDENCE/images-screenshots,Time Off Request Hayley SHOWS AUTHORITY.png,png,
03_EVIDENCE/audio-transcripts,Lord v CDI Audio Transcription of Disc Action.docx,docx,
03_EVIDENCE/audio-transcripts,Lord v CDI Audio Transcription of Review.docx,docx,
03_EVIDENCE/audio-transcripts,Lord v CDI Audio Transcription of Review__1.docx,docx,
03_EVIDENCE/audio-transcripts,Lord v CDI Audio Transcription of Review__2.docx,docx,
03_EVIDENCE/emails,05.23.25 Email HC SR Access.png,png,2025-05-23
03_EVIDENCE/emails,3.25 Email Cam RE Gun Meeting.png,png,
03_EVIDENCE/emails,4.16.25 Email Cam 4.16.25 .png,png,2025-04-16
03_EVIDENCE/emails,4.25.25 EMAIL_ Cam Email Followup.png,png,2025-04-25
03_EVIDENCE/emails,5.12.25 Email Cam Empl Agreement.png,png,2025-05-12
03_EVIDENCE/emails,5.12.25 Email Cam Mtg Request.png,png,2025-05-12
03_EVIDENCE/emails,5.12.25 Email Cam Role .png,png,2025-05-12
03_EVIDENCE/emails,6.5.25 Email Cam CB Hostility.png,png,2025-06-05
03_EVIDENCE/emails,6.5.25 Email to Cam Web Access.png,png,2025-06-05
03_EVIDENCE/emails,9.23.25 Email Connor P Proof of Eff.png,png,2025-09-23
03_EVIDENCE/emails,BIRE EMAIL BLOCK.docx,docx,
03_EVIDENCE/emails,Case Email Meeting Gun 2025-11-13 at 8.36.15 PM.png,png,2015-08-36
03_EVIDENCE/emails,Case_4.15.23 Email ESL to Cam.png,png,
03_EVIDENCE/emails,EMAIL HC Google Bus Prof Req.eml,eml,
03_EVIDENCE/emails,EMAIL No Responses.png,png,
03_EVIDENCE/emails,EMAIL_ALL HANDS NEW OFFICE.eml,eml,
03_EVIDENCE/emails,EMAIL_Christine Brodsky Refusal  2025-11-12 at 10.30.50 AM.png,png,2050-10-30
03_EVIDENCE/emails,EMAIL_HR 04.25.25.docx,docx,2025-04-25
03_EVIDENCE/emails,Email 2.25 TPhillips Email Media Exposure.png,png,
03_EVIDENCE/emails,Email CB photo requ 2025-11-12 at 10.25.00 AM.png,png,2000-10-25
03_EVIDENCE/emails,Email HR Payroll.png,png,
03_EVIDENCE/emails,Email Hayley Announced as MD.docx,docx,
03_EVIDENCE/emails,Email Hayleys Sig Blk 2025-11-13 at 7.20.07 PM.png,png,2007-07-20
03_EVIDENCE/emails,Email Josh Media Request 2025-11-14 at 7.39.59 AM.png,png,2059-07-39
03_EVIDENCE/emails,Email Paul Luck Press Release 2025-11-14 at 7.36.23 AM.png,png,2023-07-36
03_EVIDENCE/emails,Email Website Ownership 2.16.26.pages,pages,2026-02-16
03_EVIDENCE/emails,Email to Ford All Hands Event 2025-11-14 at 7.34.56 AM.png,png,2056-07-34
03_EVIDENCE/emails,Email_ConnorP Fantastic.eml,eml,
03_EVIDENCE/emails,Email_MM Lissa Lipsey .png,png,
03_EVIDENCE/emails,Email_Monthly Meeting w Ford.png,png,
03_EVIDENCE/emails,Lord v CDI Email Chain Concerns.docx,docx,
03_EVIDENCE/texts,10.24.25 Txt Ford Proof of Eff.png,png,2025-10-24
03_EVIDENCE/texts,10.7.25 Txt Ford Video Approval.png,png,2025-10-07
03_EVIDENCE/texts,ADDENDUM_Firearm_and_Safety_Concerns.txt,txt,
03_EVIDENCE/texts,IMMEDIATE_ACTION_CHECKLIST.txt,txt,
03_EVIDENCE/texts,INTEGRATION_GUIDE_Firearm_Incident.txt,txt,
03_EVIDENCE/texts,Lord v CDI Text Request to HR.PNG,png,
03_EVIDENCE/texts,Text Cam Re Signatures 2025-11-11 at 7.51.29 PM.png,png,2029-07-51
03_EVIDENCE/documents,2025 Employee Performance Review 12.15.25.pdf,pdf,2025-12-15
03_EVIDENCE/documents,5.13.25 Document_Employment Agreement 5.13.25- Elizabeth Lord[9].pdf,pdf,2025-05-13
03_EVIDENCE/documents,Age Disc Laws.docx,docx,
03_EVIDENCE/documents,BIRE_2023 Job Description_Marketing Director.docx,docx,
03_EVIDENCE/documents,CA_Marketing Director Job Description from HR.pdf,pdf,
03_EVIDENCE/documents,Case Doc Evidence.docx,docx,
03_EVIDENCE/documents,Case_Lord's Letter Corrected Page.docx,docx,
03_EVIDENCE/documents,CertificateOfCompletion_InDesign 2021 Essential Training.pdf,pdf,2021
03_EVIDENCE/documents,Dear Mr.docx,docx,
03_EVIDENCE/documents,Director of Marketing Process Sheet.docx,docx,
03_EVIDENCE/documents,ELord_CV_6.21.26.docx,docx,
03_EVIDENCE/documents,Elizabeth Lord Salary Letter[66].pdf,pdf,
03_EVIDENCE/documents,Employee Handbook 8-23-24.pdf,pdf,
03_EVIDENCE/documents,"Employee Handbook September 23, 2025.pdf",pdf,2025
03_EVIDENCE/documents,Employee Self Review Form (final).pdf,pdf,
03_EVIDENCE/documents,Employment Agreement - Elizabeth Lord_18342770417924320763.pdf,pdf,
03_EVIDENCE/documents,JAN 2025 Connection Point Newsletter (3).pdf,pdf,2025
03_EVIDENCE/documents,Lord v CDI 2026 Broadstreet Update.docx,docx,2026
03_EVIDENCE/documents,Lord v CDI 3.19 Removal of Duties Gun Report.docx,docx,
03_EVIDENCE/documents,Lord v CDI Annette Wrenn Promotion.docx,docx,
03_EVIDENCE/documents,Lord v CDI BIRE Hayley Cape as Mktg Director.pdf,pdf,
03_EVIDENCE/documents,Lord v CDI BIRE Hayley named Mktg Director.docx,docx,
03_EVIDENCE/documents,Lord v CDI Disciplinary Action.pdf,pdf,
03_EVIDENCE/documents,Lord v CDI Job Change.pdf,pdf,
03_EVIDENCE/documents,Lord v CDI_Removal of Office.docx,docx,
03_EVIDENCE/documents,Lord's Letter to Thomas Phillips.docx,docx,
03_EVIDENCE/documents,Ltr_Formal Complant.docx,docx,
03_EVIDENCE/documents,Ltr_Preservation 11.12.25.docx,docx,2025-11-12
03_EVIDENCE/documents,S Roberts unsigned employment agreement.docx,docx,
03_EVIDENCE/documents,SM Calendar_Q2_Q3 copy.xlsx,xlsx,
03_EVIDENCE/documents,SM Calendar_Q2_Q3.xlsx,xlsx,
03_EVIDENCE/documents,Skip to content.docx,docx,
03_EVIDENCE/documents,Strategic Details Needed.docx,docx,
03_EVIDENCE/documents,Updated Case 11.12.25.docx,docx,2025-11-12
03_EVIDENCE/documents,elizabeth-lord_25.pdf,pdf,
04_EXHIBITS,EXHIBIT C_3.18 Notes Mumma Mtg Removal of Authority.docx,docx,
04_EXHIBITS,EXHIBIT C_3.18.25_Notes Mumma Mtg Removal of Authority.docx,docx,
04_EXHIBITS,EXHIBIT E_4.16.25_Office Reassignment Photo.docx,docx,
04_EXHIBITS,EXHIBIT E_Notes Removal of Authority.docx,docx,
04_EXHIBITS,EXHIBIT F_6.25.25_Wrenn Change of Title.docx,docx,
04_EXHIBITS,EXHIBIT G_9.2.25_Notes on Email Lockout.docx,docx,
04_EXHIBITS,EXHIBIT G_Reputational Risk.docx,docx,
04_EXHIBITS,EXHIBIT H_9.5.25 Brodsky Intro Hayley Cape as Dir of Mktg.docx,docx,
04_EXHIBITS,EXHIBIT I 2.25.26_Investment News Article.docx,docx,
04_EXHIBITS,EXHIBIT J 2.25.26_Email TP Reputational Risk.docx,docx,
04_EXHIBITS,EXHIBIT K. 3.12.26_Response Rate.pages,pages,
04_EXHIBITS,EXHIBIT K. 3.12.26_Response Rate.pdf,pdf,
04_EXHIBITS,EXHIBIT K_6.25.25 Email Footer AWrenn Title Change.png,png,
04_EXHIBITS,EXHIBIT+A_11.19.24_Organizational+Chart+Showing+Authority.png,png,
04_EXHIBITS,EXHIBIT_10.24.25 Txt Ford No Response.png,png,
04_EXHIBITS,Email Exhibit GL Budget.png,png,
06_WORK_PRODUCT,02.17.25 Marketing Proposal ELord.docx,docx,2025-02-17
06_WORK_PRODUCT,9.2.25  Discussion Notes.docx,docx,2025-09-02
06_WORK_PRODUCT,CASE NOTES 11.14.25.docx,docx,2025-11-14
06_WORK_PRODUCT,Employment Change Proposal_CMO.docx,docx,
06_WORK_PRODUCT,Employment Proposal_VPM copy.docx,docx,
06_WORK_PRODUCT,HR Statement.docx,docx,
06_WORK_PRODUCT,Lord v CDI HR Mtg Response 3.13.25.docx,docx,2025-03-13
06_WORK_PRODUCT,Lord v CDI Req for Performance Review.docx,docx,
06_WORK_PRODUCT,Lord v CDI Req for Performance Review__1.docx,docx,
06_WORK_PRODUCT,Lord v CDI_Evidence of Fraud.docx,docx,
06_WORK_PRODUCT,Lord v CDI_HR Response to Charges 11.24.2025.pdf,pdf,2025-11-24
06_WORK_PRODUCT,Ltr_Formal Complaint DRAFT NOT SENT.docx,docx,
06_WORK_PRODUCT,SM Reporting.docx,docx,
