curated_path,category,filename,source_in_archive,total_copies_in_archive,size_bytes
01_FILINGS/EEOC/EEOC Complaint Overview 5.21.26.docx,01_FILINGS/EEOC,EEOC Complaint Overview 5.21.26.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC Complaint Overview 5.21.26.docx,1,32841
01_FILINGS/EEOC/EEOC FILING INFO alias,01_FILINGS/EEOC,EEOC FILING INFO alias,99_ARCHIVE/original-tree/EEOC FILING INFO alias,1,1024
01_FILINGS/EEOC/EEOC Investigator Summary Brief 5.25.26.docx,01_FILINGS/EEOC,EEOC Investigator Summary Brief 5.25.26.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC Investigator Summary Brief 5.25.26.docx,1,29409
01_FILINGS/EEOC/EEOC Investigator Summary Brief.docx,01_FILINGS/EEOC,EEOC Investigator Summary Brief.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC Investigator Summary Brief.docx,1,32216
01_FILINGS/EEOC/EEOC_Complaint_Analysis_and_Recommendations.txt,01_FILINGS/EEOC,EEOC_Complaint_Analysis_and_Recommendations.txt,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/EEOC_Complaint_Analysis_and_Recommendations.txt,1,11825
01_FILINGS/EEOC/EEOC_Complaint_Lord_FINAL.docx,01_FILINGS/EEOC,EEOC_Complaint_Lord_FINAL.docx,99_ARCHIVE/original-tree/EEOC_Complaint_Lord_FINAL.docx,2,53322
01_FILINGS/EEOC/EEOC_FisherPhillips Response.pdf,01_FILINGS/EEOC,EEOC_FisherPhillips Response.pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC_FisherPhillips Response.pdf,1,260181
01_FILINGS/EEOC/EEOC_Ltr TPhillips Rep Risk.docx,01_FILINGS/EEOC,EEOC_Ltr TPhillips Rep Risk.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC_Ltr TPhillips Rep Risk.docx,1,16201
01_FILINGS/EEOC/EEOC_Rebuttal Ltr_Statement_3.17.26.docx,01_FILINGS/EEOC,EEOC_Rebuttal Ltr_Statement_3.17.26.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBITS 3.15/EEOC_Rebuttal Ltr_Statement_3.17.26.docx,1,29906
01_FILINGS/EEOC/EEOC_Rebuttal_Blackstream.CDI_6_30_26.docx,01_FILINGS/EEOC,EEOC_Rebuttal_Blackstream.CDI_6_30_26.docx,99_ARCHIVE/original-tree/EEOC_Rebuttal_Blackstream.CDI_6_30_26.docx,1,3822830
01_FILINGS/EEOC/EEOC_Rebuttal_Lord_3.12.26.docx,01_FILINGS/EEOC,EEOC_Rebuttal_Lord_3.12.26.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC_Rebuttal_Lord_3.12.26.docx,1,28926
01_FILINGS/EEOC/EEOC_Rebuttal_Lord_REVISED.docx,01_FILINGS/EEOC,EEOC_Rebuttal_Lord_REVISED.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/WBS TO REVIEWED/EEOC_Rebuttal_Lord_REVISED.docx,1,28821
01_FILINGS/EEOC/EEOC_Response 3.15.25.docx,01_FILINGS/EEOC,EEOC_Response 3.15.25.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC_Response 3.15.25.docx,1,27344
01_FILINGS/EEOC/ELord Rebuttal 3.10.26.docx,01_FILINGS/EEOC,ELord Rebuttal 3.10.26.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/ELord Rebuttal 3.10.26.docx,1,23941
01_FILINGS/EEOC/ELord_ EEOC Response_3.17.26.pdf,01_FILINGS/EEOC,ELord_ EEOC Response_3.17.26.pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/ELord_ EEOC Response_3.17.26.pdf,1,178147
01_FILINGS/EEOC/Formal Notice of Claims 11.14.2025.pdf,01_FILINGS/EEOC,Formal Notice of Claims 11.14.2025.pdf,99_ARCHIVE/original-tree/Formal Notice of Claims 11.14.2025.pdf,1,1372493
01_FILINGS/EEOC/Formal Notice of Claims.pages,01_FILINGS/EEOC,Formal Notice of Claims.pages,99_ARCHIVE/original-tree/Formal Notice of Claims.pages,1,786893
01_FILINGS/EEOC/Rebuttal Notes 6.30.26.docx,01_FILINGS/EEOC,Rebuttal Notes 6.30.26.docx,99_ARCHIVE/original-tree/LORD V CDI/Rebuttal Notes 6.30.26.docx,1,16737
01_FILINGS/NLRB/CHG.10-CA-381639.First Amended Charge Against Employer - CA Case.pdf,01_FILINGS/NLRB,CHG.10-CA-381639.First Amended Charge Against Employer - CA Case.pdf,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/CHG.10-CA-381639.First Amended Charge Against Employer - CA Case.pdf,2,145379
01_FILINGS/NLRB/NLRB 3.1.26.docx,01_FILINGS/NLRB,NLRB 3.1.26.docx,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/NLRB 3.1.26.docx,1,21845
01_FILINGS/NLRB/NLRB Affidavit Revisions 4.15.26.docx,01_FILINGS/NLRB,NLRB Affidavit Revisions 4.15.26.docx,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/NLRB Affidavit Revisions 4.15.26.docx,1,52511
01_FILINGS/NLRB/NLRB Efile Confirmation.html,01_FILINGS/NLRB,NLRB Efile Confirmation.html,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/NLRB Efile Confirmation.html,1,176426
01_FILINGS/NLRB/NLRB Statement 3.9.26.docx,01_FILINGS/NLRB,NLRB Statement 3.9.26.docx,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/NLRB Statement 3.9.26.docx,1,21867
01_FILINGS/NLRB/NLRB Witness List 3.1.26.docx,01_FILINGS/NLRB,NLRB Witness List 3.1.26.docx,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/NLRB Witness List 3.1.26.docx,1,15793
01_FILINGS/NLRB/NLRB_DCK.10-CA-378814.Unassigned Queue - Letter to Charging Party.pdf,01_FILINGS/NLRB,NLRB_DCK.10-CA-378814.Unassigned Queue - Letter to Charging Party.pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/UPLOADS 2.23.26/NLRB_DCK.10-CA-378814.Unassigned Queue - Letter to Charging Party.pdf,1,221776
01_FILINGS/NLRB/Witness List 3.1.26.docx,01_FILINGS/NLRB,Witness List 3.1.26.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBITS 3.15/Witness List 3.1.26.docx,1,16247
02_TIMELINES/BIRE Timeline copy.docx,02_TIMELINES,BIRE Timeline copy.docx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/BIRE Timeline copy.docx,1,41583
02_TIMELINES/Complaint TImeline.docx,02_TIMELINES,Complaint TImeline.docx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Complaint TImeline.docx,1,49226
02_TIMELINES/EEOC_Complaint_Timeline_Lord.docx,02_TIMELINES,EEOC_Complaint_Timeline_Lord.docx,99_ARCHIVE/original-tree/EEOC_Complaint_Timeline_Lord.docx,2,34366
02_TIMELINES/ELord_EEOC TIMELINE 12.15.25.xlsx,02_TIMELINES,ELord_EEOC TIMELINE 12.15.25.xlsx,99_ARCHIVE/original-tree/LORD V CDI/ELord_EEOC TIMELINE 12.15.25.xlsx,1,74598
02_TIMELINES/ELord_EEOC Updated TIMELINE 1.18.26.xlsx,02_TIMELINES,ELord_EEOC Updated TIMELINE 1.18.26.xlsx,99_ARCHIVE/original-tree/Uploads/ELord_EEOC Updated TIMELINE 1.18.26.xlsx,3,75826
02_TIMELINES/ELord_EEOC Updated TIMELINE 2.28.26.xlsx,02_TIMELINES,ELord_EEOC Updated TIMELINE 2.28.26.xlsx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/ELord_EEOC Updated TIMELINE 2.28.26.xlsx,1,77231
02_TIMELINES/ELord_NLRB FULL TIMELINE 3.1.26.xlsx,02_TIMELINES,ELord_NLRB FULL TIMELINE 3.1.26.xlsx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/ELord_NLRB FULL TIMELINE 3.1.26.xlsx,1,79873
02_TIMELINES/ELord_NLRB Updated TIMELINE 2.28.26.xlsx,02_TIMELINES,ELord_NLRB Updated TIMELINE 2.28.26.xlsx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/UPLOADS 2.23.26/ELord_NLRB Updated TIMELINE 2.28.26.xlsx,1,79888
02_TIMELINES/ELord_NLRB Updated TIMELINE 3.1.26.xlsx,02_TIMELINES,ELord_NLRB Updated TIMELINE 3.1.26.xlsx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/UPLOADS 2.23.26/ELord_NLRB Updated TIMELINE 3.1.26.xlsx,1,79865
02_TIMELINES/Lt Thomas Phillips 251113 timeline & preservation.docx,02_TIMELINES,Lt Thomas Phillips 251113 timeline & preservation.docx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/ESL Nov 14 T Phillips/Lt Thomas Phillips 251113 timeline & preservation.docx,1,45758
02_TIMELINES/Timeline Updated 11.30.25.pdf,02_TIMELINES,Timeline Updated 11.30.25.pdf,99_ARCHIVE/original-tree/Timeline Updated 11.30.25.pdf,1,600476
02_TIMELINES/Timeline Updated 11.30.25.xlsx,02_TIMELINES,Timeline Updated 11.30.25.xlsx,99_ARCHIVE/original-tree/Timeline Updated 11.30.25.xlsx,1,88460
02_TIMELINES/Timeline_ Lord v. CDI (2).xlsx,02_TIMELINES,Timeline_ Lord v. CDI (2).xlsx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Timeline_ Lord v. CDI (2).xlsx,1,127451
02_TIMELINES/Timeline_ Lord v. CDI 1.4.26 copy.pdf,02_TIMELINES,Timeline_ Lord v. CDI 1.4.26 copy.pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/Timeline_ Lord v. CDI 1.4.26 copy.pdf,1,5566220
02_TIMELINES/Timeline_ Lord v. CDI 1.4.26 copy.pdf.zip,02_TIMELINES,Timeline_ Lord v. CDI 1.4.26 copy.pdf.zip,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/Timeline_ Lord v. CDI 1.4.26 copy.pdf.zip,1,5356238
02_TIMELINES/UPDATED TIMELINE 3.1.26.xlsx,02_TIMELINES,UPDATED TIMELINE 3.1.26.xlsx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/UPDATED TIMELINE 3.1.26.xlsx,1,77956
02_TIMELINES/UPDATED TIMELINE 3.1.26__1.xlsx,02_TIMELINES,UPDATED TIMELINE 3.1.26.xlsx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBITS 3.15/UPDATED TIMELINE 3.1.26.xlsx,1,78244
02_TIMELINES/UPDATED TIMELINE 5.21.26.xlsx,02_TIMELINES,UPDATED TIMELINE 5.21.26.xlsx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/UPDATED TIMELINE 5.21.26.xlsx,1,79514
02_TIMELINES/UPDATED TIMELINE 5.21.26__1.xlsx,02_TIMELINES,UPDATED TIMELINE 5.21.26.xlsx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EXHIBITS 3.15/UPDATED TIMELINE 5.21.26.xlsx,1,79692
02_TIMELINES/UPDATED TIMELINE 5.25.26 copy.xlsx,02_TIMELINES,UPDATED TIMELINE 5.25.26 copy.xlsx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/UPDATED TIMELINE 5.25.26 copy.xlsx,1,79869
02_TIMELINES/UPDATED TIMELINE 5.25.26.xlsx,02_TIMELINES,UPDATED TIMELINE 5.25.26.xlsx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/UPDATED TIMELINE 5.25.26.xlsx,1,79814
03_EVIDENCE/audio-transcripts/Lord v CDI Audio Transcription of Disc Action.docx,03_EVIDENCE/audio-transcripts,Lord v CDI Audio Transcription of Disc Action.docx,99_ARCHIVE/original-tree/NLRB FILING DOCS 3.5/Lord v CDI Audio Transcription of Disc Action.docx,1,41190
03_EVIDENCE/audio-transcripts/Lord v CDI Audio Transcription of Review.docx,03_EVIDENCE/audio-transcripts,Lord v CDI Audio Transcription of Review.docx,99_ARCHIVE/original-tree/LORD V CDI/Lord v CDI EXHIBITS/Lord v CDI Audio Transcription of Review.docx,1,41052
03_EVIDENCE/audio-transcripts/Lord v CDI Audio Transcription of Review__1.docx,03_EVIDENCE/audio-transcripts,Lord v CDI Audio Transcription of Review.docx,99_ARCHIVE/original-tree/Uploads/Lord v CDI Audio Transcription of Review.docx,1,41196
03_EVIDENCE/audio-transcripts/Lord v CDI Audio Transcription of Review__2.docx,03_EVIDENCE/audio-transcripts,Lord v CDI Audio Transcription of Review.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/UPLOADS 2.23.26/Lord v CDI Audio Transcription of Review.docx,1,42363
03_EVIDENCE/documents/2025 Employee Performance Review 12.15.25.pdf,03_EVIDENCE/documents,2025 Employee Performance Review 12.15.25.pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/2025 Employee Performance Review 12.15.25.pdf,1,9975082
03_EVIDENCE/documents/5.13.25 Document_Employment Agreement 5.13.25- Elizabeth Lord[9].pdf,03_EVIDENCE/documents,5.13.25 Document_Employment Agreement 5.13.25- Elizabeth Lord[9].pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/5.13.25 Document_Employment Agreement 5.13.25- Elizabeth Lord[9].pdf,2,224431
03_EVIDENCE/documents/Age Disc Laws.docx,03_EVIDENCE/documents,Age Disc Laws.docx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Age Disc Laws.docx,1,18932
03_EVIDENCE/documents/BIRE_2023 Job Description_Marketing Director.docx,03_EVIDENCE/documents,BIRE_2023 Job Description_Marketing Director.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/BIRE_2023 Job Description_Marketing Director.docx,1,16817
03_EVIDENCE/documents/CA_Marketing Director Job Description from HR.pdf,03_EVIDENCE/documents,CA_Marketing Director Job Description from HR.pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/CA_Marketing Director Job Description from HR.pdf,1,183180
03_EVIDENCE/documents/Case Doc Evidence.docx,03_EVIDENCE/documents,Case Doc Evidence.docx,99_ARCHIVE/original-tree/LORD V CDI/Case Doc Evidence.docx,1,17004
03_EVIDENCE/documents/Case_Lord's Letter Corrected Page.docx,03_EVIDENCE/documents,Case_Lord's Letter Corrected Page.docx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/ESL Nov 14 T Phillips/Case_Lord's Letter Corrected Page.docx,1,35997
03_EVIDENCE/documents/CertificateOfCompletion_InDesign 2021 Essential Training.pdf,03_EVIDENCE/documents,CertificateOfCompletion_InDesign 2021 Essential Training.pdf,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Evidence of Performance/CertificateOfCompletion_InDesign 2021 Essential Training.pdf,1,221735
03_EVIDENCE/documents/Dear Mr.docx,03_EVIDENCE/documents,Dear Mr.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Dear Mr.docx,1,17570
03_EVIDENCE/documents/ELord_CV_6.21.26.docx,03_EVIDENCE/documents,ELord_CV_6.21.26.docx,99_ARCHIVE/original-tree/ELord_CV_6.21.26.docx,1,20609
03_EVIDENCE/documents/Elizabeth Lord Salary Letter[66].pdf,03_EVIDENCE/documents,Elizabeth Lord Salary Letter[66].pdf,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Elizabeth Lord Salary Letter[66].pdf,1,139813
03_EVIDENCE/documents/Employee Handbook 8-23-24.pdf,03_EVIDENCE/documents,Employee Handbook 8-23-24.pdf,99_ARCHIVE/original-tree/LORD V CDI/Lord v CDI EXHIBITS/Employee Handbook 8-23-24.pdf,1,376796
"03_EVIDENCE/documents/Employee Handbook September 23, 2025.pdf",03_EVIDENCE/documents,"Employee Handbook September 23, 2025.pdf","99_ARCHIVE/original-tree/LORD V CDI/Lord v CDI EXHIBITS/Employee Handbook September 23, 2025.pdf",3,480656
03_EVIDENCE/documents/Employee Self Review Form (final).pdf,03_EVIDENCE/documents,Employee Self Review Form (final).pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Exhibits for Copying/Employee Self Review Form (final).pdf,1,139624
03_EVIDENCE/documents/Employment Agreement - Elizabeth Lord_18342770417924320763.pdf,03_EVIDENCE/documents,Employment Agreement - Elizabeth Lord_18342770417924320763.pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/Employment Agreement - Elizabeth Lord_18342770417924320763.pdf,1,224434
03_EVIDENCE/documents/JAN 2025 Connection Point Newsletter (3).pdf,03_EVIDENCE/documents,JAN 2025 Connection Point Newsletter (3).pdf,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Evidence of Performance/JAN 2025 Connection Point Newsletter (3).pdf,1,4263663
03_EVIDENCE/documents/Lord v CDI 2026 Broadstreet Update.docx,03_EVIDENCE/documents,Lord v CDI 2026 Broadstreet Update.docx,99_ARCHIVE/original-tree/Uploads/Lord v CDI 2026 Broadstreet Update.docx,3,39505
03_EVIDENCE/documents/Lord v CDI 3.19 Removal of Duties Gun Report.docx,03_EVIDENCE/documents,Lord v CDI 3.19 Removal of Duties Gun Report.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Lord v CDI 3.19 Removal of Duties Gun Report.docx,1,251069
03_EVIDENCE/documents/Lord v CDI Annette Wrenn Promotion.docx,03_EVIDENCE/documents,Lord v CDI Annette Wrenn Promotion.docx,99_ARCHIVE/original-tree/Uploads/Lord v CDI Annette Wrenn Promotion.docx,3,278660
03_EVIDENCE/documents/Lord v CDI BIRE Hayley Cape as Mktg Director.pdf,03_EVIDENCE/documents,Lord v CDI BIRE Hayley Cape as Mktg Director.pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Lord v CDI BIRE Hayley Cape as Mktg Director.pdf,1,151613
03_EVIDENCE/documents/Lord v CDI BIRE Hayley named Mktg Director.docx,03_EVIDENCE/documents,Lord v CDI BIRE Hayley named Mktg Director.docx,99_ARCHIVE/original-tree/LORD V CDI/Lord v CDI EXHIBITS/Lord v CDI BIRE Hayley named Mktg Director.docx,1,1187987
03_EVIDENCE/documents/Lord v CDI Disciplinary Action.pdf,03_EVIDENCE/documents,Lord v CDI Disciplinary Action.pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Lord v CDI Disciplinary Action.pdf,1,229331
03_EVIDENCE/documents/Lord v CDI Job Change.pdf,03_EVIDENCE/documents,Lord v CDI Job Change.pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/UPLOADS 2.23.26/Lord v CDI Job Change.pdf,1,271826
03_EVIDENCE/documents/Lord v CDI_Removal of Office.docx,03_EVIDENCE/documents,Lord v CDI_Removal of Office.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/UPLOADS 2.23.26/Lord v CDI_Removal of Office.docx,1,232235
03_EVIDENCE/documents/Lord's Letter to Thomas Phillips.docx,03_EVIDENCE/documents,Lord's Letter to Thomas Phillips.docx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Lord's Letter to Thomas Phillips.docx,1,1726564
03_EVIDENCE/documents/Ltr_Formal Complant.docx,03_EVIDENCE/documents,Ltr_Formal Complant.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/UPLOADS 2.23.26/Ltr_Formal Complant.docx,1,46257
03_EVIDENCE/documents/Ltr_Preservation 11.12.25.docx,03_EVIDENCE/documents,Ltr_Preservation 11.12.25.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Ltr_Preservation 11.12.25.docx,1,21717
03_EVIDENCE/documents/S Roberts unsigned employment agreement.docx,03_EVIDENCE/documents,S Roberts unsigned employment agreement.docx,99_ARCHIVE/original-tree/LORD V CDI/S Roberts unsigned employment agreement.docx,1,264018
03_EVIDENCE/documents/SM Calendar_Q2_Q3 copy.xlsx,03_EVIDENCE/documents,SM Calendar_Q2_Q3 copy.xlsx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/SM Calendar_Q2_Q3 copy.xlsx,1,39813
03_EVIDENCE/documents/SM Calendar_Q2_Q3.xlsx,03_EVIDENCE/documents,SM Calendar_Q2_Q3.xlsx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/SM Calendar_Q2_Q3.xlsx,1,39769
03_EVIDENCE/documents/Skip to content.docx,03_EVIDENCE/documents,Skip to content.docx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Skip to content.docx,2,23854
03_EVIDENCE/documents/Strategic Details Needed.docx,03_EVIDENCE/documents,Strategic Details Needed.docx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Strategic Details Needed.docx,1,18628
03_EVIDENCE/documents/Updated Case 11.12.25.docx,03_EVIDENCE/documents,Updated Case 11.12.25.docx,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Updated Case 11.12.25.docx,1,34451
03_EVIDENCE/documents/elizabeth-lord_25.pdf,03_EVIDENCE/documents,elizabeth-lord_25.pdf,99_ARCHIVE/original-tree/LORD V CDI/Doc for Uploading 1.18/Evidence of Performance/elizabeth-lord_25.pdf,1,87705
03_EVIDENCE/emails/05.23.25 Email HC SR Access.png,03_EVIDENCE/emails,05.23.25 Email HC SR Access.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/05.23.25 Email HC SR Access.png,1,391618
03_EVIDENCE/emails/3.25 Email Cam RE Gun Meeting.png,03_EVIDENCE/emails,3.25 Email Cam RE Gun Meeting.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/3.25 Email Cam RE Gun Meeting.png,2,1298805
03_EVIDENCE/emails/4.16.25 Email Cam 4.16.25 .png,03_EVIDENCE/emails,4.16.25 Email Cam 4.16.25 .png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/4.16.25 Email Cam 4.16.25 .png,2,117951
03_EVIDENCE/emails/4.25.25 EMAIL_ Cam Email Followup.png,03_EVIDENCE/emails,4.25.25 EMAIL_ Cam Email Followup.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/4.25.25 EMAIL_ Cam Email Followup.png,2,150960
03_EVIDENCE/emails/5.12.25 Email Cam Empl Agreement.png,03_EVIDENCE/emails,5.12.25 Email Cam Empl Agreement.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/5.12.25 Email Cam Empl Agreement.png,1,349378
03_EVIDENCE/emails/5.12.25 Email Cam Mtg Request.png,03_EVIDENCE/emails,5.12.25 Email Cam Mtg Request.png,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC FILING INFO/5.12.25 Email Cam Mtg Request.png,1,335388
